+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                15 |  1 |   RUNNING |   WAITING |
|               165 |  1 |   WAITING |     READY |
|               165 |  1 |     READY |   RUNNING |
|               180 |  1 |   RUNNING |   WAITING |
|               200 |  2 |       NEW |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               301 |  2 |     READY |   RUNNING |
|               330 |  1 |   WAITING |     READY |
|               330 |  2 |   RUNNING |     READY |
|               331 |  2 |     READY |   RUNNING |
|               332 |  2 |   RUNNING |     READY |
|               333 |  2 |     READY |   RUNNING |
|               334 |  2 |   RUNNING |     READY |
|               335 |  2 |     READY |   RUNNING |
|               336 |  2 |   RUNNING |     READY |
|               337 |  2 |     READY |   RUNNING |
|               338 |  2 |   RUNNING |     READY |
|               339 |  2 |     READY |   RUNNING |
|               340 |  2 |   RUNNING |     READY |
|               341 |  2 |     READY |   RUNNING |
|               342 |  2 |   RUNNING |     READY |
|               343 |  2 |     READY |   RUNNING |
|               344 |  2 |   RUNNING |     READY |
|               345 |  2 |     READY |   RUNNING |
|               346 |  2 |   RUNNING |     READY |
|               347 |  2 |     READY |   RUNNING |
|               348 |  2 |   RUNNING |     READY |
|               349 |  2 |     READY |   RUNNING |
|               350 |  2 |   RUNNING |     READY |
|               351 |  2 |     READY |   RUNNING |
|               352 |  2 |   RUNNING |     READY |
|               353 |  2 |     READY |   RUNNING |
|               354 |  2 |   RUNNING |     READY |
|               355 |  2 |     READY |   RUNNING |
|               356 |  2 |   RUNNING |     READY |
|               357 |  2 |     READY |   RUNNING |
|               358 |  2 |   RUNNING |     READY |
|               359 |  2 |     READY |   RUNNING |
|               360 |  2 |   RUNNING |     READY |
|               361 |  2 |     READY |   RUNNING |
|               362 |  2 |   RUNNING |     READY |
|               363 |  2 |     READY |   RUNNING |
|               364 |  2 |   RUNNING |     READY |
|               365 |  2 |     READY |   RUNNING |
|               366 |  2 |   RUNNING |     READY |
|               367 |  2 |     READY |   RUNNING |
|               368 |  2 |   RUNNING |     READY |
|               369 |  2 |     READY |   RUNNING |
|               370 |  2 |   RUNNING |     READY |
|               371 |  2 |     READY |   RUNNING |
|               372 |  2 |   RUNNING |     READY |
|               373 |  2 |     READY |   RUNNING |
|               374 |  2 |   RUNNING |     READY |
|               375 |  2 |     READY |   RUNNING |
|               376 |  2 |   RUNNING |     READY |
|               377 |  2 |     READY |   RUNNING |
|               378 |  2 |   RUNNING |     READY |
|               379 |  2 |     READY |   RUNNING |
|               380 |  2 |   RUNNING |     READY |
|               381 |  2 |     READY |   RUNNING |
|               382 |  2 |   RUNNING |     READY |
|               383 |  2 |     READY |   RUNNING |
|               384 |  2 |   RUNNING |     READY |
|               385 |  2 |     READY |   RUNNING |
|               386 |  2 |   RUNNING |     READY |
|               387 |  2 |     READY |   RUNNING |
|               388 |  2 |   RUNNING |     READY |
|               389 |  2 |     READY |   RUNNING |
|               390 |  2 |   RUNNING |     READY |
|               391 |  2 |     READY |   RUNNING |
|               392 |  2 |   RUNNING |     READY |
|               393 |  2 |     READY |   RUNNING |
|               394 |  2 |   RUNNING |     READY |
|               395 |  2 |     READY |   RUNNING |
|               396 |  2 |   RUNNING |     READY |
